CapTime,av,fr,to
27/01/2022-19:42,2,6,8,
27/01/2022-19:47,2,6,8,
27/01/2022-19:52,2,6,8,
27/01/2022-19:57,2,6,8,
27/01/2022-20:02,2,6,8,
27/01/2022-20:07,2,6,8,
27/01/2022-20:12,3,5,8,
27/01/2022-20:17,3,5,8,
27/01/2022-20:22,3,5,8,
27/01/2022-20:27,3,5,8,
27/01/2022-20:32,3,5,8,
27/01/2022-20:37,3,5,8,
27/01/2022-20:42,3,5,8,
27/01/2022-20:47,4,4,8,
27/01/2022-20:52,4,4,8,
27/01/2022-20:57,4,4,8,
27/01/2022-21:02,4,4,8,
27/01/2022-21:07,4,4,8,
27/01/2022-21:12,3,5,8,
27/01/2022-21:17,3,5,8,
27/01/2022-21:22,3,5,8,
27/01/2022-21:27,3,5,8,
27/01/2022-21:32,3,5,8,
27/01/2022-21:37,3,5,8,
27/01/2022-21:42,3,5,8,
27/01/2022-21:47,3,5,8,
27/01/2022-21:52,3,5,8,
27/01/2022-21:57,3,5,8,
27/01/2022-22:02,3,5,8,
27/01/2022-22:07,3,5,8,
27/01/2022-22:12,3,5,8,
27/01/2022-22:17,3,5,8,
27/01/2022-22:22,3,5,8,
27/01/2022-22:27,3,5,8,
27/01/2022-22:32,3,5,8,
27/01/2022-22:37,3,5,8,
27/01/2022-22:42,3,5,8,
27/01/2022-22:47,3,5,8,
27/01/2022-22:52,3,5,8,
27/01/2022-22:57,3,5,8,
27/01/2022-23:02,3,5,8,
27/01/2022-23:07,3,5,8,
27/01/2022-23:12,3,5,8,
27/01/2022-23:17,3,5,8,
27/01/2022-23:22,3,5,8,
27/01/2022-23:27,3,5,8,
27/01/2022-23:32,3,5,8,
27/01/2022-23:37,3,5,8,
27/01/2022-23:42,3,5,8,
27/01/2022-23:47,3,5,8,
27/01/2022-23:52,3,5,8,
27/01/2022-23:57,3,5,8,
28/01/2022-00:02,3,5,8,
28/01/2022-00:07,3,5,8,
28/01/2022-00:12,2,6,8,
28/01/2022-00:17,2,6,8,
28/01/2022-00:22,2,6,8,
28/01/2022-00:27,2,6,8,
28/01/2022-00:32,2,6,8,
28/01/2022-00:37,2,6,8,
28/01/2022-00:42,2,6,8,
28/01/2022-00:47,2,6,8,
28/01/2022-00:52,2,6,8,
28/01/2022-00:57,2,6,8,
28/01/2022-01:02,2,6,8,
28/01/2022-01:07,3,5,8,
28/01/2022-01:12,3,5,8,
28/01/2022-01:17,3,5,8,
28/01/2022-01:22,3,5,8,
28/01/2022-01:27,3,5,8,
28/01/2022-01:32,3,5,8,
28/01/2022-01:37,3,5,8,
28/01/2022-01:42,3,5,8,
28/01/2022-01:47,3,5,8,
28/01/2022-01:52,3,5,8,
28/01/2022-01:57,3,5,8,
28/01/2022-02:02,3,5,8,
28/01/2022-02:07,3,5,8,
28/01/2022-02:12,3,5,8,
28/01/2022-02:17,3,5,8,
28/01/2022-02:22,3,5,8,
28/01/2022-02:27,3,5,8,
28/01/2022-02:32,3,5,8,
28/01/2022-02:37,3,5,8,
28/01/2022-02:42,3,5,8,
28/01/2022-02:47,3,5,8,
28/01/2022-02:52,3,5,8,
28/01/2022-02:57,3,5,8,
28/01/2022-03:02,3,5,8,
28/01/2022-03:07,3,5,8,
28/01/2022-03:12,3,5,8,
28/01/2022-03:17,3,5,8,
28/01/2022-03:22,3,5,8,
28/01/2022-03:27,3,5,8,
28/01/2022-03:32,3,5,8,
28/01/2022-03:37,3,5,8,
28/01/2022-03:42,3,5,8,
28/01/2022-03:47,3,5,8,
28/01/2022-03:52,3,5,8,
28/01/2022-03:57,3,5,8,
28/01/2022-04:02,3,5,8,
28/01/2022-04:07,3,5,8,
28/01/2022-04:12,3,5,8,
28/01/2022-04:17,3,5,8,
28/01/2022-04:22,3,5,8,
28/01/2022-04:27,3,5,8,
28/01/2022-04:32,3,5,8,
28/01/2022-04:37,3,5,8,
28/01/2022-04:42,3,5,8,
28/01/2022-04:47,3,5,8,
28/01/2022-04:52,3,5,8,
28/01/2022-04:57,3,5,8,
28/01/2022-05:02,3,5,8,
28/01/2022-05:07,3,5,8,
28/01/2022-05:12,3,5,8,
28/01/2022-05:17,3,5,8,
28/01/2022-05:22,3,5,8,
28/01/2022-05:27,3,5,8,
28/01/2022-05:32,3,5,8,
28/01/2022-05:37,3,5,8,
28/01/2022-05:42,3,5,8,
28/01/2022-05:47,3,5,8,
28/01/2022-05:52,3,5,8,
28/01/2022-05:57,3,5,8,
28/01/2022-06:02,3,5,8,
28/01/2022-06:07,3,5,8,
28/01/2022-06:12,3,5,8,
28/01/2022-06:17,3,5,8,
28/01/2022-06:22,3,5,8,
28/01/2022-06:27,3,5,8,
28/01/2022-06:32,3,5,8,
28/01/2022-06:37,3,5,8,
28/01/2022-06:42,3,5,8,
28/01/2022-06:47,3,5,8,
28/01/2022-06:52,3,5,8,
28/01/2022-06:57,3,5,8,
28/01/2022-07:02,3,5,8,
28/01/2022-07:07,3,5,8,
28/01/2022-07:12,3,5,8,
28/01/2022-07:17,3,5,8,
28/01/2022-07:22,3,5,8,
28/01/2022-07:27,3,5,8,
28/01/2022-07:32,3,5,8,
28/01/2022-07:37,3,5,8,
28/01/2022-07:42,3,5,8,
28/01/2022-07:47,3,5,8,
28/01/2022-07:52,3,5,8,
28/01/2022-07:57,4,4,8,
28/01/2022-08:02,4,4,8,
28/01/2022-08:07,4,4,8,
28/01/2022-08:12,4,4,8,
28/01/2022-08:17,4,4,8,
28/01/2022-08:22,4,4,8,
28/01/2022-08:27,4,4,8,
28/01/2022-08:32,4,4,8,
28/01/2022-08:37,4,4,8,
28/01/2022-08:42,4,4,8,
28/01/2022-08:47,4,4,8,
28/01/2022-08:52,4,4,8,
28/01/2022-08:57,4,4,8,
28/01/2022-09:02,4,4,8,
28/01/2022-09:07,4,4,8,
28/01/2022-09:12,4,4,8,
28/01/2022-09:17,4,4,8,
28/01/2022-09:22,4,4,8,
28/01/2022-09:27,4,4,8,
28/01/2022-09:32,4,4,8,
28/01/2022-09:37,3,5,8,
28/01/2022-09:42,3,5,8,
28/01/2022-09:47,3,5,8,
28/01/2022-09:52,2,6,8,
28/01/2022-09:57,2,6,8,
28/01/2022-10:02,2,6,8,
28/01/2022-10:07,2,6,8,
28/01/2022-10:12,2,6,8,
28/01/2022-10:17,2,6,8,
28/01/2022-10:22,2,6,8,
28/01/2022-10:27,2,6,8,
28/01/2022-10:32,2,6,8,
28/01/2022-10:37,2,6,8,
28/01/2022-10:42,2,6,8,
28/01/2022-10:47,2,6,8,
28/01/2022-10:52,2,6,8,
28/01/2022-10:57,2,6,8,
28/01/2022-11:02,2,6,8,
28/01/2022-11:07,2,6,8,
28/01/2022-11:12,2,6,8,
28/01/2022-11:17,2,6,8,
28/01/2022-11:22,2,6,8,
28/01/2022-11:27,2,6,8,
28/01/2022-11:32,1,7,8,
28/01/2022-11:37,1,7,8,
28/01/2022-11:42,1,7,8,
28/01/2022-11:47,1,7,8,
28/01/2022-11:52,1,7,8,
28/01/2022-11:57,1,7,8,
28/01/2022-12:02,1,7,8,
28/01/2022-12:07,1,7,8,
28/01/2022-12:12,1,7,8,
28/01/2022-12:17,1,7,8,
28/01/2022-12:22,1,7,8,
28/01/2022-12:27,1,7,8,
28/01/2022-12:32,1,7,8,
28/01/2022-12:37,1,7,8,
28/01/2022-12:42,1,7,8,
28/01/2022-12:47,1,7,8,
28/01/2022-12:52,1,7,8,
28/01/2022-12:57,0,8,8,
28/01/2022-13:02,0,8,8,
28/01/2022-13:07,0,8,8,
28/01/2022-13:12,0,8,8,
28/01/2022-13:17,0,8,8,
28/01/2022-13:22,0,8,8,
28/01/2022-13:27,0,8,8,
28/01/2022-13:32,0,8,8,
28/01/2022-13:37,0,8,8,
28/01/2022-13:42,0,8,8,
28/01/2022-13:47,0,8,8,
28/01/2022-13:52,0,8,8,
28/01/2022-13:57,0,8,8,
28/01/2022-14:02,1,7,8,
28/01/2022-14:07,1,7,8,
28/01/2022-14:12,1,7,8,
28/01/2022-14:17,0,8,8,
28/01/2022-14:22,0,8,8,
28/01/2022-14:27,0,8,8,
28/01/2022-14:32,0,8,8,
28/01/2022-14:37,0,8,8,
28/01/2022-14:42,0,8,8,
28/01/2022-14:47,0,8,8,
28/01/2022-14:52,0,8,8,
28/01/2022-14:57,0,8,8,
28/01/2022-15:02,0,8,8,
28/01/2022-15:07,3,5,8,
28/01/2022-15:12,3,5,8,
28/01/2022-15:17,3,5,8,
28/01/2022-15:22,3,5,8,
28/01/2022-15:27,3,5,8,
28/01/2022-15:32,3,5,8,
28/01/2022-15:37,3,5,8,
28/01/2022-15:42,3,5,8,
28/01/2022-15:47,3,5,8,
28/01/2022-15:52,3,5,8,
28/01/2022-15:57,3,5,8,
28/01/2022-16:02,3,5,8,
28/01/2022-16:07,3,5,8,
28/01/2022-16:12,2,6,8,
28/01/2022-16:17,2,6,8,
28/01/2022-16:22,2,6,8,
28/01/2022-16:27,2,6,8,
28/01/2022-16:32,2,6,8,
28/01/2022-16:37,2,6,8,
28/01/2022-16:42,2,6,8,
28/01/2022-16:47,2,6,8,
28/01/2022-16:52,2,6,8,
28/01/2022-16:57,2,6,8,
28/01/2022-17:02,2,6,8,
28/01/2022-17:07,2,6,8,
28/01/2022-17:12,3,5,8,
28/01/2022-17:17,3,5,8,
28/01/2022-17:22,3,5,8,
28/01/2022-17:27,3,5,8,
28/01/2022-17:32,3,5,8,
28/01/2022-17:37,3,5,8,
28/01/2022-17:42,1,7,8,
28/01/2022-17:47,1,7,8,
28/01/2022-17:52,1,7,8,
