CapTime;av;fr;to
27/01/2022-19:42;5;11;16;
27/01/2022-19:47;5;11;16;
27/01/2022-19:52;5;11;16;
27/01/2022-19:57;5;11;16;
27/01/2022-20:02;5;11;16;
27/01/2022-20:07;5;11;16;
27/01/2022-20:12;5;11;16;
27/01/2022-20:17;5;11;16;
27/01/2022-20:22;5;11;16;
27/01/2022-20:27;4;12;16;
27/01/2022-20:32;4;12;16;
27/01/2022-20:37;4;12;16;
27/01/2022-20:42;4;12;16;
27/01/2022-20:47;4;12;16;
27/01/2022-20:52;4;12;16;
27/01/2022-20:57;4;12;16;
27/01/2022-21:02;4;12;16;
27/01/2022-21:07;4;12;16;
27/01/2022-21:12;4;12;16;
27/01/2022-21:17;4;12;16;
27/01/2022-21:22;4;12;16;
27/01/2022-21:27;4;12;16;
27/01/2022-21:32;4;12;16;
27/01/2022-21:37;4;12;16;
27/01/2022-21:42;4;12;16;
27/01/2022-21:47;4;12;16;
27/01/2022-21:52;4;12;16;
27/01/2022-21:57;4;12;16;
27/01/2022-22:02;4;12;16;
27/01/2022-22:07;4;12;16;
27/01/2022-22:12;4;12;16;
27/01/2022-22:17;4;12;16;
27/01/2022-22:22;4;12;16;
27/01/2022-22:27;4;12;16;
27/01/2022-22:32;4;12;16;
27/01/2022-22:37;4;12;16;
27/01/2022-22:42;4;12;16;
27/01/2022-22:47;3;13;16;
27/01/2022-22:52;3;13;16;
27/01/2022-22:57;3;13;16;
27/01/2022-23:02;3;13;16;
27/01/2022-23:07;3;13;16;
27/01/2022-23:12;3;13;16;
27/01/2022-23:17;3;13;16;
27/01/2022-23:22;3;13;16;
27/01/2022-23:27;3;13;16;
27/01/2022-23:32;3;13;16;
27/01/2022-23:37;3;13;16;
27/01/2022-23:42;3;13;16;
27/01/2022-23:47;3;13;16;
27/01/2022-23:52;3;13;16;
27/01/2022-23:57;3;13;16;
28/01/2022-00:02;3;13;16;
28/01/2022-00:07;3;13;16;
28/01/2022-00:12;3;13;16;
28/01/2022-00:17;4;12;16;
28/01/2022-00:22;4;12;16;
28/01/2022-00:27;5;11;16;
28/01/2022-00:32;5;11;16;
28/01/2022-00:37;5;11;16;
28/01/2022-00:42;5;11;16;
28/01/2022-00:47;5;11;16;
28/01/2022-00:52;5;11;16;
28/01/2022-00:57;5;11;16;
28/01/2022-01:02;5;11;16;
28/01/2022-01:07;5;11;16;
28/01/2022-01:12;5;11;16;
28/01/2022-01:17;5;11;16;
28/01/2022-01:22;5;11;16;
28/01/2022-01:27;5;11;16;
28/01/2022-01:32;5;11;16;
28/01/2022-01:37;5;11;16;
28/01/2022-01:42;5;11;16;
28/01/2022-01:47;5;11;16;
28/01/2022-01:52;5;11;16;
28/01/2022-01:57;5;11;16;
28/01/2022-02:02;5;11;16;
28/01/2022-02:07;5;11;16;
28/01/2022-02:12;5;11;16;
28/01/2022-02:17;5;11;16;
28/01/2022-02:22;5;11;16;
28/01/2022-02:27;5;11;16;
28/01/2022-02:32;5;11;16;
28/01/2022-02:37;5;11;16;
28/01/2022-02:42;5;11;16;
28/01/2022-02:47;5;11;16;
28/01/2022-02:52;2;14;16;
28/01/2022-02:57;1;15;16;
28/01/2022-03:02;1;15;16;
28/01/2022-03:07;1;15;16;
28/01/2022-03:12;1;15;16;
28/01/2022-03:17;1;15;16;
28/01/2022-03:22;0;16;16;
28/01/2022-03:27;0;16;16;
28/01/2022-03:32;0;16;16;
28/01/2022-03:37;0;16;16;
28/01/2022-03:42;0;16;16;
28/01/2022-03:47;0;16;16;
28/01/2022-03:52;0;16;16;
28/01/2022-03:57;0;16;16;
28/01/2022-04:02;0;16;16;
28/01/2022-04:07;0;16;16;
28/01/2022-04:12;0;16;16;
28/01/2022-04:17;0;16;16;
28/01/2022-04:22;0;16;16;
28/01/2022-04:27;0;16;16;
28/01/2022-04:32;0;16;16;
28/01/2022-04:37;0;16;16;
